[20251125-221127] Running bandwidth scraper
/Users/ckolik/Projects/fios-lens/scraper/venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2025-11-25 22:13:02,183 INFO bandwidth_scraper - Collecting bandwidth metrics for SonosZP (54/79)
2025-11-25 22:13:02,183 INFO bandwidth_scraper - Collecting bandwidth metrics for SonosZP (55/79)
2025-11-25 22:13:02,183 INFO bandwidth_scraper - Collecting bandwidth metrics for SonosZP (56/79)
2025-11-25 22:13:02,183 INFO bandwidth_scraper - Collecting bandwidth metrics for T8417T00244414BE (57/79)
2025-11-25 22:13:02,184 INFO bandwidth_scraper - Collecting bandwidth metrics for T8417T00250327C7 (58/79)
2025-11-25 22:13:02,184 INFO bandwidth_scraper - Collecting bandwidth metrics for unknown_18:b4:30:38:dd:5e (59/79)
2025-11-25 22:13:02,184 INFO bandwidth_scraper - Collecting bandwidth metrics for unknown_18:b4:30:9f:cc:65 (60/79)
2025-11-25 22:13:02,184 INFO bandwidth_scraper - Collecting bandwidth metrics for unknown_18:b4:30:9f:dd:cf (61/79)
2025-11-25 22:13:02,184 INFO bandwidth_scraper - Collecting bandwidth metrics for unknown_18:b4:30:a7:fe:16 (62/79)
2025-11-25 22:13:02,184 INFO bandwidth_scraper - Collecting bandwidth metrics for unknown_18:b4:30:d9:3e:b4 (63/79)
2025-11-25 22:13:02,184 INFO bandwidth_scraper - Collecting bandwidth metrics for unknown_36:3c:e0:76:21:de (64/79)
2025-11-25 22:13:02,185 INFO bandwidth_scraper - Collecting bandwidth metrics for unknown_3e:5c:63:b7:8c:52 (65/79)
2025-11-25 22:13:02,185 INFO bandwidth_scraper - Collecting bandwidth metrics for unknown_48:5f:2d:35:4a:31 (66/79)
2025-11-25 22:13:02,185 INFO bandwidth_scraper - Collecting bandwidth metrics for unknown_50:23:6d:4f:ea:0c (67/79)
2025-11-25 22:13:02,185 INFO bandwidth_scraper - Collecting bandwidth metrics for unknown_62:35:68:cd:fd:f5 (68/79)
2025-11-25 22:13:02,185 INFO bandwidth_scraper - Collecting bandwidth metrics for unknown_78:6c:84:ce:e2:7f (69/79)
2025-11-25 22:13:02,185 INFO bandwidth_scraper - Collecting bandwidth metrics for unknown_7a:b3:f3:f6:63:98 (70/79)
2025-11-25 22:13:02,185 INFO bandwidth_scraper - Collecting bandwidth metrics for unknown_7e:1c:86:1e:ab:7a (71/79)
2025-11-25 22:13:02,185 INFO bandwidth_scraper - Collecting bandwidth metrics for unknown_94:3a:91:fb:64:6e (72/79)
2025-11-25 22:13:02,185 INFO bandwidth_scraper - Collecting bandwidth metrics for unknown_98:cd:ac:35:ae:f2 (73/79)
2025-11-25 22:13:02,186 INFO bandwidth_scraper - Collecting bandwidth metrics for unknown_a2:f9:5e:c1:6f:fb (74/79)
2025-11-25 22:13:02,186 INFO bandwidth_scraper - Collecting bandwidth metrics for unknown_b4:b7:42:62:38:5f (75/79)
2025-11-25 22:13:02,186 INFO bandwidth_scraper - Collecting bandwidth metrics for Watch (76/79)
2025-11-25 22:13:02,186 INFO bandwidth_scraper - Collecting bandwidth metrics for Watch (77/79)
2025-11-25 22:13:02,186 INFO bandwidth_scraper - Collecting bandwidth metrics for Watch (78/79)
2025-11-25 22:13:02,186 INFO bandwidth_scraper - Collecting bandwidth metrics for Watch (79/79)
2025-11-25 22:13:02,186 INFO bandwidth_scraper - Captured bandwidth metrics for 79 LAN devices.
2025-11-25 22:13:02,187 INFO bandwidth_scraper - Wrote bandwidth metrics for 79 devices to /Users/ckolik/Projects/fios-lens/output/device_bandwidth_20251126-031302.json
[20251125-222302] Running bandwidth scraper
/Users/ckolik/Projects/fios-lens/scraper/venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2025-11-25 22:23:02,851 INFO bandwidth_scraper - Navigating to login page https://192.168.1.1/#/login/
2025-11-25 22:23:04,732 INFO bandwidth_scraper - Login successful.
2025-11-25 22:23:04,733 INFO bandwidth_scraper - Collecting bandwidth metrics from https://192.168.1.1/#/adv/monitoring/bandwidth
2025-11-25 22:24:36,985 INFO bandwidth_scraper - Collecting bandwidth metrics for 09AA01AC411705CV (1/79)
2025-11-25 22:24:36,985 INFO bandwidth_scraper - Collecting bandwidth metrics for 18963 (2/79)
2025-11-25 22:24:36,985 INFO bandwidth_scraper - Collecting bandwidth metrics for 49TCLRokuTV (3/79)
2025-11-25 22:24:36,986 INFO bandwidth_scraper - Collecting bandwidth metrics for amazon-244372b15 (4/79)
2025-11-25 22:24:36,986 INFO bandwidth_scraper - Collecting bandwidth metrics for amazon-3a75d5331 (5/79)
2025-11-25 22:24:36,986 INFO bandwidth_scraper - Collecting bandwidth metrics for amazon-946da2be82a4ca43 (6/79)
2025-11-25 22:24:36,986 INFO bandwidth_scraper - Collecting bandwidth metrics for amazon-a1c7142f8 (7/79)
2025-11-25 22:24:36,986 INFO bandwidth_scraper - Collecting bandwidth metrics for amazon-a356c9c8b (8/79)
2025-11-25 22:24:36,986 INFO bandwidth_scraper - Collecting bandwidth metrics for AmazonPlug03G2 (9/79)
2025-11-25 22:24:36,986 INFO bandwidth_scraper - Collecting bandwidth metrics for android-9ea19400c077527 (10/79)
2025-11-25 22:24:36,986 INFO bandwidth_scraper - Collecting bandwidth metrics for Bond-TADDAFF13376 (11/79)
2025-11-25 22:24:36,987 INFO bandwidth_scraper - Collecting bandwidth metrics for CADC-RA-CE-12 (12/79)
2025-11-25 22:24:36,987 INFO bandwidth_scraper - Collecting bandwidth metrics for DEFAULT (13/79)
2025-11-25 22:24:36,987 INFO bandwidth_scraper - Collecting bandwidth metrics for DESKTOP-RUBY (14/79)
2025-11-25 22:24:36,987 INFO bandwidth_scraper - Collecting bandwidth metrics for E3200-3CBDC5ECDA9A (15/79)
2025-11-25 22:24:36,987 INFO bandwidth_scraper - Collecting bandwidth metrics for Google-Home-Mini (16/79)
2025-11-25 22:24:36,987 INFO bandwidth_scraper - Collecting bandwidth metrics for HPF4D1AA (17/79)
2025-11-25 22:24:36,987 INFO bandwidth_scraper - Collecting bandwidth metrics for HS103 (18/79)
2025-11-25 22:24:36,987 INFO bandwidth_scraper - Collecting bandwidth metrics for Indoorcam (19/79)
2025-11-25 22:24:36,988 INFO bandwidth_scraper - Collecting bandwidth metrics for iPad (20/79)
2025-11-25 22:24:36,988 INFO bandwidth_scraper - Collecting bandwidth metrics for iPad (21/79)
2025-11-25 22:24:36,988 INFO bandwidth_scraper - Collecting bandwidth metrics for iPhone (22/79)
2025-11-25 22:24:36,988 INFO bandwidth_scraper - Collecting bandwidth metrics for iPhone (23/79)
2025-11-25 22:24:36,988 INFO bandwidth_scraper - Collecting bandwidth metrics for iPhone (24/79)
2025-11-25 22:24:36,988 INFO bandwidth_scraper - Collecting bandwidth metrics for iPhone (25/79)
2025-11-25 22:24:36,988 INFO bandwidth_scraper - Collecting bandwidth metrics for iPhone (26/79)
2025-11-25 22:24:36,989 INFO bandwidth_scraper - Collecting bandwidth metrics for iPhone (27/79)
2025-11-25 22:24:36,989 INFO bandwidth_scraper - Collecting bandwidth metrics for iPhone (28/79)
2025-11-25 22:24:36,989 INFO bandwidth_scraper - Collecting bandwidth metrics for iPhone (29/79)
2025-11-25 22:24:36,989 INFO bandwidth_scraper - Collecting bandwidth metrics for iPhone (30/79)
2025-11-25 22:24:36,989 INFO bandwidth_scraper - Collecting bandwidth metrics for iPhone (31/79)
2025-11-25 22:24:36,989 INFO bandwidth_scraper - Collecting bandwidth metrics for iPhone (32/79)
2025-11-25 22:24:36,989 INFO bandwidth_scraper - Collecting bandwidth metrics for iPhone (33/79)
2025-11-25 22:24:36,989 INFO bandwidth_scraper - Collecting bandwidth metrics for Kellys-Air (34/79)
2025-11-25 22:24:36,990 INFO bandwidth_scraper - Collecting bandwidth metrics for lwip0 (35/79)
2025-11-25 22:24:36,990 INFO bandwidth_scraper - Collecting bandwidth metrics for lwip0 (36/79)
2025-11-25 22:24:36,990 INFO bandwidth_scraper - Collecting bandwidth metrics for lwip0 (37/79)
2025-11-25 22:24:36,990 INFO bandwidth_scraper - Collecting bandwidth metrics for lwip0 (38/79)
2025-11-25 22:24:36,990 INFO bandwidth_scraper - Collecting bandwidth metrics for Mac (39/79)
2025-11-25 22:24:36,990 INFO bandwidth_scraper - Collecting bandwidth metrics for MacBook-Pro (40/79)
2025-11-25 22:24:36,990 INFO bandwidth_scraper - Collecting bandwidth metrics for MacBookPro (41/79)
2025-11-25 22:24:36,990 INFO bandwidth_scraper - Collecting bandwidth metrics for Nest-Cam (42/79)
2025-11-25 22:24:36,991 INFO bandwidth_scraper - Collecting bandwidth metrics for Nest-Cam (43/79)
2025-11-25 22:24:36,991 INFO bandwidth_scraper - Collecting bandwidth metrics for Nest-Cam (44/79)
2025-11-25 22:24:36,991 INFO bandwidth_scraper - Collecting bandwidth metrics for Nest-Connect-E16B (45/79)
2025-11-25 22:24:36,991 INFO bandwidth_scraper - Collecting bandwidth metrics for Nest-Connect-E7E7 (46/79)
2025-11-25 22:24:36,991 INFO bandwidth_scraper - Collecting bandwidth metrics for Nest-Hello-8a4c (47/79)
2025-11-25 22:24:36,991 INFO bandwidth_scraper - Collecting bandwidth metrics for pi (48/79)
2025-11-25 22:24:36,991 INFO bandwidth_scraper - Collecting bandwidth metrics for Samsung (49/79)
2025-11-25 22:24:36,992 INFO bandwidth_scraper - Collecting bandwidth metrics for SonosZP (50/79)
2025-11-25 22:24:36,992 INFO bandwidth_scraper - Collecting bandwidth metrics for SonosZP (51/79)
2025-11-25 22:24:36,992 INFO bandwidth_scraper - Collecting bandwidth metrics for SonosZP (52/79)
2025-11-25 22:24:36,992 INFO bandwidth_scraper - Collecting bandwidth metrics for SonosZP (53/79)
2025-11-25 22:24:36,992 INFO bandwidth_scraper - Collecting bandwidth metrics for SonosZP (54/79)
2025-11-25 22:24:36,992 INFO bandwidth_scraper - Collecting bandwidth metrics for SonosZP (55/79)
2025-11-25 22:24:36,992 INFO bandwidth_scraper - Collecting bandwidth metrics for SonosZP (56/79)
2025-11-25 22:24:36,992 INFO bandwidth_scraper - Collecting bandwidth metrics for T8417T00244414BE (57/79)
2025-11-25 22:24:36,993 INFO bandwidth_scraper - Collecting bandwidth metrics for T8417T00250327C7 (58/79)
2025-11-25 22:24:36,993 INFO bandwidth_scraper - Collecting bandwidth metrics for unknown_18:b4:30:38:dd:5e (59/79)
2025-11-25 22:24:36,993 INFO bandwidth_scraper - Collecting bandwidth metrics for unknown_18:b4:30:9f:cc:65 (60/79)
2025-11-25 22:24:36,993 INFO bandwidth_scraper - Collecting bandwidth metrics for unknown_18:b4:30:9f:dd:cf (61/79)
2025-11-25 22:24:36,993 INFO bandwidth_scraper - Collecting bandwidth metrics for unknown_18:b4:30:a7:fe:16 (62/79)
2025-11-25 22:24:36,993 INFO bandwidth_scraper - Collecting bandwidth metrics for unknown_18:b4:30:d9:3e:b4 (63/79)
2025-11-25 22:24:36,993 INFO bandwidth_scraper - Collecting bandwidth metrics for unknown_36:3c:e0:76:21:de (64/79)
2025-11-25 22:24:36,993 INFO bandwidth_scraper - Collecting bandwidth metrics for unknown_3e:5c:63:b7:8c:52 (65/79)
2025-11-25 22:24:36,994 INFO bandwidth_scraper - Collecting bandwidth metrics for unknown_48:5f:2d:35:4a:31 (66/79)
2025-11-25 22:24:36,994 INFO bandwidth_scraper - Collecting bandwidth metrics for unknown_50:23:6d:4f:ea:0c (67/79)
2025-11-25 22:24:36,994 INFO bandwidth_scraper - Collecting bandwidth metrics for unknown_62:35:68:cd:fd:f5 (68/79)
2025-11-25 22:24:36,994 INFO bandwidth_scraper - Collecting bandwidth metrics for unknown_78:6c:84:ce:e2:7f (69/79)
2025-11-25 22:24:36,994 INFO bandwidth_scraper - Collecting bandwidth metrics for unknown_7a:b3:f3:f6:63:98 (70/79)
2025-11-25 22:24:36,994 INFO bandwidth_scraper - Collecting bandwidth metrics for unknown_7e:1c:86:1e:ab:7a (71/79)
2025-11-25 22:24:36,994 INFO bandwidth_scraper - Collecting bandwidth metrics for unknown_94:3a:91:fb:64:6e (72/79)
2025-11-25 22:24:36,994 INFO bandwidth_scraper - Collecting bandwidth metrics for unknown_98:cd:ac:35:ae:f2 (73/79)
2025-11-25 22:24:36,995 INFO bandwidth_scraper - Collecting bandwidth metrics for unknown_a2:f9:5e:c1:6f:fb (74/79)
2025-11-25 22:24:36,995 INFO bandwidth_scraper - Collecting bandwidth metrics for unknown_b4:b7:42:62:38:5f (75/79)
2025-11-25 22:24:36,995 INFO bandwidth_scraper - Collecting bandwidth metrics for Watch (76/79)
2025-11-25 22:24:36,995 INFO bandwidth_scraper - Collecting bandwidth metrics for Watch (77/79)
2025-11-25 22:24:36,995 INFO bandwidth_scraper - Collecting bandwidth metrics for Watch (78/79)
2025-11-25 22:24:36,995 INFO bandwidth_scraper - Collecting bandwidth metrics for Watch (79/79)
2025-11-25 22:24:36,995 INFO bandwidth_scraper - Captured bandwidth metrics for 79 LAN devices.
2025-11-25 22:24:36,996 INFO bandwidth_scraper - Wrote bandwidth metrics for 79 devices to /Users/ckolik/Projects/fios-lens/output/device_bandwidth_20251126-032436.json
[20251125-223437] Running bandwidth scraper
/Users/ckolik/Projects/fios-lens/scraper/venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2025-11-25 22:34:37,791 INFO bandwidth_scraper - Navigating to login page https://192.168.1.1/#/login/
2025-11-25 22:34:39,668 INFO bandwidth_scraper - Login successful.
2025-11-25 22:34:39,669 INFO bandwidth_scraper - Collecting bandwidth metrics from https://192.168.1.1/#/adv/monitoring/bandwidth
2025-11-25 22:36:11,802 INFO bandwidth_scraper - Collecting bandwidth metrics for 09AA01AC411705CV (1/79)
2025-11-25 22:36:11,802 INFO bandwidth_scraper - Collecting bandwidth metrics for 18963 (2/79)
2025-11-25 22:36:11,802 INFO bandwidth_scraper - Collecting bandwidth metrics for 49TCLRokuTV (3/79)
2025-11-25 22:36:11,802 INFO bandwidth_scraper - Collecting bandwidth metrics for amazon-244372b15 (4/79)
2025-11-25 22:36:11,802 INFO bandwidth_scraper - Collecting bandwidth metrics for amazon-3a75d5331 (5/79)
2025-11-25 22:36:11,802 INFO bandwidth_scraper - Collecting bandwidth metrics for amazon-946da2be82a4ca43 (6/79)
2025-11-25 22:36:11,803 INFO bandwidth_scraper - Collecting bandwidth metrics for amazon-a1c7142f8 (7/79)
2025-11-25 22:36:11,803 INFO bandwidth_scraper - Collecting bandwidth metrics for amazon-a356c9c8b (8/79)
2025-11-25 22:36:11,803 INFO bandwidth_scraper - Collecting bandwidth metrics for AmazonPlug03G2 (9/79)
2025-11-25 22:36:11,803 INFO bandwidth_scraper - Collecting bandwidth metrics for android-9ea19400c077527 (10/79)
2025-11-25 22:36:11,803 INFO bandwidth_scraper - Collecting bandwidth metrics for Bond-TADDAFF13376 (11/79)
2025-11-25 22:36:11,803 INFO bandwidth_scraper - Collecting bandwidth metrics for CADC-RA-CE-12 (12/79)
2025-11-25 22:36:11,803 INFO bandwidth_scraper - Collecting bandwidth metrics for DEFAULT (13/79)
2025-11-25 22:36:11,803 INFO bandwidth_scraper - Collecting bandwidth metrics for DESKTOP-RUBY (14/79)
2025-11-25 22:36:11,804 INFO bandwidth_scraper - Collecting bandwidth metrics for E3200-3CBDC5ECDA9A (15/79)
2025-11-25 22:36:11,804 INFO bandwidth_scraper - Collecting bandwidth metrics for Google-Home-Mini (16/79)
2025-11-25 22:36:11,804 INFO bandwidth_scraper - Collecting bandwidth metrics for HPF4D1AA (17/79)
2025-11-25 22:36:11,804 INFO bandwidth_scraper - Collecting bandwidth metrics for HS103 (18/79)
2025-11-25 22:36:11,804 INFO bandwidth_scraper - Collecting bandwidth metrics for Indoorcam (19/79)
2025-11-25 22:36:11,804 INFO bandwidth_scraper - Collecting bandwidth metrics for iPad (20/79)
2025-11-25 22:36:11,804 INFO bandwidth_scraper - Collecting bandwidth metrics for iPad (21/79)
2025-11-25 22:36:11,805 INFO bandwidth_scraper - Collecting bandwidth metrics for iPhone (22/79)
2025-11-25 22:36:11,805 INFO bandwidth_scraper - Collecting bandwidth metrics for iPhone (23/79)
2025-11-25 22:36:11,805 INFO bandwidth_scraper - Collecting bandwidth metrics for iPhone (24/79)
2025-11-25 22:36:11,805 INFO bandwidth_scraper - Collecting bandwidth metrics for iPhone (25/79)
2025-11-25 22:36:11,805 INFO bandwidth_scraper - Collecting bandwidth metrics for iPhone (26/79)
2025-11-25 22:36:11,805 INFO bandwidth_scraper - Collecting bandwidth metrics for iPhone (27/79)
2025-11-25 22:36:11,805 INFO bandwidth_scraper - Collecting bandwidth metrics for iPhone (28/79)
2025-11-25 22:36:11,806 INFO bandwidth_scraper - Collecting bandwidth metrics for iPhone (29/79)
2025-11-25 22:36:11,806 INFO bandwidth_scraper - Collecting bandwidth metrics for iPhone (30/79)
2025-11-25 22:36:11,806 INFO bandwidth_scraper - Collecting bandwidth metrics for iPhone (31/79)
2025-11-25 22:36:11,806 INFO bandwidth_scraper - Collecting bandwidth metrics for iPhone (32/79)
2025-11-25 22:36:11,806 INFO bandwidth_scraper - Collecting bandwidth metrics for iPhone (33/79)
2025-11-25 22:36:11,806 INFO bandwidth_scraper - Collecting bandwidth metrics for Kellys-Air (34/79)
2025-11-25 22:36:11,806 INFO bandwidth_scraper - Collecting bandwidth metrics for lwip0 (35/79)
2025-11-25 22:36:11,806 INFO bandwidth_scraper - Collecting bandwidth metrics for lwip0 (36/79)
2025-11-25 22:36:11,807 INFO bandwidth_scraper - Collecting bandwidth metrics for lwip0 (37/79)
2025-11-25 22:36:11,807 INFO bandwidth_scraper - Collecting bandwidth metrics for lwip0 (38/79)
2025-11-25 22:36:11,807 INFO bandwidth_scraper - Collecting bandwidth metrics for Mac (39/79)
2025-11-25 22:36:11,807 INFO bandwidth_scraper - Collecting bandwidth metrics for MacBook-Pro (40/79)
2025-11-25 22:36:11,807 INFO bandwidth_scraper - Collecting bandwidth metrics for MacBookPro (41/79)
2025-11-25 22:36:11,807 INFO bandwidth_scraper - Collecting bandwidth metrics for Nest-Cam (42/79)
2025-11-25 22:36:11,807 INFO bandwidth_scraper - Collecting bandwidth metrics for Nest-Cam (43/79)
2025-11-25 22:36:11,808 INFO bandwidth_scraper - Collecting bandwidth metrics for Nest-Cam (44/79)
2025-11-25 22:36:11,808 INFO bandwidth_scraper - Collecting bandwidth metrics for Nest-Connect-E16B (45/79)
2025-11-25 22:36:11,808 INFO bandwidth_scraper - Collecting bandwidth metrics for Nest-Connect-E7E7 (46/79)
2025-11-25 22:36:11,808 INFO bandwidth_scraper - Collecting bandwidth metrics for Nest-Hello-8a4c (47/79)
2025-11-25 22:36:11,808 INFO bandwidth_scraper - Collecting bandwidth metrics for pi (48/79)
2025-11-25 22:36:11,808 INFO bandwidth_scraper - Collecting bandwidth metrics for Samsung (49/79)
2025-11-25 22:36:11,809 INFO bandwidth_scraper - Collecting bandwidth metrics for SonosZP (50/79)
2025-11-25 22:36:11,809 INFO bandwidth_scraper - Collecting bandwidth metrics for SonosZP (51/79)
2025-11-25 22:36:11,809 INFO bandwidth_scraper - Collecting bandwidth metrics for SonosZP (52/79)
2025-11-25 22:36:11,809 INFO bandwidth_scraper - Collecting bandwidth metrics for SonosZP (53/79)
2025-11-25 22:36:11,809 INFO bandwidth_scraper - Collecting bandwidth metrics for SonosZP (54/79)
2025-11-25 22:36:11,809 INFO bandwidth_scraper - Collecting bandwidth metrics for SonosZP (55/79)
2025-11-25 22:36:11,809 INFO bandwidth_scraper - Collecting bandwidth metrics for SonosZP (56/79)
2025-11-25 22:36:11,810 INFO bandwidth_scraper - Collecting bandwidth metrics for T8417T00244414BE (57/79)
2025-11-25 22:36:11,810 INFO bandwidth_scraper - Collecting bandwidth metrics for T8417T00250327C7 (58/79)
2025-11-25 22:36:11,810 INFO bandwidth_scraper - Collecting bandwidth metrics for unknown_18:b4:30:38:dd:5e (59/79)
2025-11-25 22:36:11,810 INFO bandwidth_scraper - Collecting bandwidth metrics for unknown_18:b4:30:9f:cc:65 (60/79)
2025-11-25 22:36:11,810 INFO bandwidth_scraper - Collecting bandwidth metrics for unknown_18:b4:30:9f:dd:cf (61/79)
2025-11-25 22:36:11,810 INFO bandwidth_scraper - Collecting bandwidth metrics for unknown_18:b4:30:a7:fe:16 (62/79)
2025-11-25 22:36:11,810 INFO bandwidth_scraper - Collecting bandwidth metrics for unknown_18:b4:30:d9:3e:b4 (63/79)
2025-11-25 22:36:11,811 INFO bandwidth_scraper - Collecting bandwidth metrics for unknown_36:3c:e0:76:21:de (64/79)
2025-11-25 22:36:11,811 INFO bandwidth_scraper - Collecting bandwidth metrics for unknown_3e:5c:63:b7:8c:52 (65/79)
2025-11-25 22:36:11,811 INFO bandwidth_scraper - Collecting bandwidth metrics for unknown_48:5f:2d:35:4a:31 (66/79)
